CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
184042395,12/22/2016,15:00:00,,,02/17/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,RESTAURANT/DINER,,,987404,215746,40.758857075,-73.988616647,"(40.758857075, -73.988616647)"
511427385,12/22/2016,08:00:00,01/12/2017,15:30:00,02/15/2017,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,988792,224933,40.784072393,-73.983600259,"(40.784072393, -73.983600259)"
375335091,12/22/2016,14:42:00,12/22/2016,15:30:00,02/14/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,1000261,237146,40.817580404,-73.942156513,"(40.817580404, -73.942156513)"
641897312,12/22/2016,17:30:00,,,02/10/2017,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,,STREET,,,987365,204175,40.727097576,-73.988762779,"(40.727097576, -73.988762779)"
714549925,12/22/2016,16:41:00,12/22/2016,16:41:00,02/06/2017,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,FAST FOOD,,,996660,235154,40.812118713,-73.955169976,"(40.812118713, -73.955169976)"
668913570,12/22/2016,16:30:00,01/31/2017,10:16:00,01/31/2017,126,MISCELLANEOUS PENAL LAW,204,"TRESPASS 1,CRIMINAL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,ABANDONED BUILDING,,,1001361,246032,40.841967866,-73.938159745,"(40.841967866, -73.938159745)"
338277584,12/22/2016,12:00:00,,,01/30/2017,341,PETIT LARCENY,303,"LARCENY,PETIT BY CHECK USE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESTAURANT/DINER,,,986314,209007,40.740360538,-73.99255322,"(40.740360538, -73.99255322)"
310044669,12/22/2016,12:00:00,12/22/2016,13:00:00,01/26/2017,109,GRAND LARCENY,402,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",ATTEMPTED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,982330,198278,40.710912067,-74.00692697,"(40.710912067, -74.00692697)"
620880160,12/22/2016,00:00:00,12/31/2016,00:00:00,01/26/2017,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,,,998638,231227,40.801337182,-73.948032812,"(40.801337182, -73.948032812)"
469250538,12/22/2016,22:17:00,12/29/2016,14:36:00,01/24/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,BANK,,,982348,197631,40.709136209,-74.00686186,"(40.709136209, -74.00686186)"
